feature,score,max,min,n_null,type
x793,137,,,19,numeric
x732,136,,,19,numeric
x459,135,,,0,numeric
x69,135,,,130,numeric
x945,134,,,285,numeric
x589,134,,,19,numeric
x380,133,,,19,numeric
x1016,132,,,19,numeric
x624,131,,,19,numeric
x466,131,,,0,numeric
x1017,131,,,19,numeric
x910,131,,,4951,numeric
x654,127,,,19,numeric
x525,126,,,19,numeric
x570,126,,,19,numeric
x256,126,,,19,numeric
x921,126,,,4951,numeric
x650,125,,,10943,numeric
x170,125,,,19,numeric
x838,124,,,19,numeric
x1008,124,,,19,numeric
x202,124,,,19,numeric
x602,123,,,19,numeric
x1048,122,,,19,numeric
x269,121,,,19,numeric
x221,120,,,19,numeric
x290,119,,,19,numeric
x983,119,,,19,numeric
x378,119,,,19,numeric
x1078,118,,,4951,numeric
x939,118,,,4951,numeric
x810,117,,,19,numeric
x108,117,,,19,numeric
x442,117,,,13651,numeric
x611,116,,,19,numeric
x1113,113,,,0,category
x962,113,,,4421,numeric
x693,112,,,19,numeric
x790,112,,,19,numeric
x888,112,,,4951,numeric
x528,111,,,19,numeric
x523,111,,,19,numeric
x819,111,,,13061,numeric
x547,110,,,13030,numeric
x794,110,,,19,numeric
x930,110,,,4951,numeric
x934,110,,,4951,numeric
x535,109,,,19,numeric
x1073,108,,,4951,numeric
x918,108,,,4951,numeric
x623,107,,,19,numeric
x682,107,,,19,numeric
x742,105,,,19,numeric
x1112,105,,,0,category
x863,104,,,19,numeric
x327,103,,,92,numeric
x795,103,,,19,numeric
x527,103,,,19,numeric
x789,103,,,19,numeric
x753,103,,,19,numeric
x677,102,,,19,numeric
x985,102,,,19,numeric
x454,102,,,13778,category
x783,101,,,19,numeric
x250,100,,,19,numeric
x832,100,,,19,numeric
x531,99,,,19,numeric
x762,99,,,19,numeric
x799,99,,,19,numeric
x1133,99,,,0,category
x569,98,,,19,numeric
x938,98,,,4951,numeric
x1106,96,,,4951,numeric
x765,96,,,19,numeric
x991,96,,,19,numeric
x869,96,,,19,numeric
x935,95,,,4951,numeric
x265,94,,,19,numeric
x625,94,,,19,numeric
x1118,94,,,0,category
x1107,94,,,0,category
x242,93,,,19,numeric
x905,93,,,4951,numeric
x770,93,,,19,numeric
x874,93,,,19,numeric
x377,92,,,19,numeric
x521,91,,,19,numeric
x717,90,,,19,numeric
x243,90,,,19,numeric
x423,90,,,19,numeric
x561,89,,,19,numeric
x806,88,,,19,numeric
x880,88,,,19,numeric
x595,88,,,19,numeric
x1028,87,,,19,numeric
x720,85,,,19,numeric
x1066,85,,,4951,numeric
x464,85,,,0,numeric
x1119,85,,,0,category
x1122,85,,,0,category
